ID;sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
54;Male;*;White;*;*;*;Non-Government;*;<=50K
55;*;*;*;*;*;North America;*;*;<=50K
56;*;*;*;*;*;*;*;*;<=50K
57;Male;*;White;*;*;*;Non-Government;*;<=50K
58;*;*;*;*;*;*;*;*;>50K
59;*;*;*;*;*;*;*;*;<=50K
60;*;*;*;*;*;North America;*;*;<=50K
61;*;*;*;*;*;*;*;*;<=50K
62;*;*;*;*;*;*;*;*;>50K
63;*;*;*;*;*;*;*;*;>50K
64;Male;*;*;spouse not present;*;*;*;*;<=50K
65;*;*;*;*;*;*;*;*;<=50K
66;*;*;*;*;*;*;*;*;>50K
67;*;*;*;*;*;*;*;*;<=50K
68;*;*;*;*;*;*;*;*;<=50K
69;*;*;*;*;*;*;*;*;<=50K
70;*;*;*;*;*;*;*;*;<=50K
71;*;*;*;*;*;*;*;*;<=50K
72;*;*;*;*;*;*;*;*;<=50K
73;Male;*;*;spouse not present;*;*;*;*;<=50K
74;*;*;*;*;*;*;*;*;<=50K
75;*;*;*;*;*;*;*;*;<=50K
76;*;*;*;*;*;*;Non-Government;*;<=50K
77;*;*;*;*;*;*;*;*;>50K
78;*;*;*;*;*;*;*;*;<=50K
79;*;*;*;*;*;*;*;*;>50K
80;*;*;*;*;*;*;*;*;<=50K
81;*;*;*;*;*;*;*;*;<=50K
82;*;*;*;*;*;*;*;*;>50K
83;*;*;*;*;*;*;*;*;<=50K
84;*;*;*;*;*;*;*;*;<=50K
85;*;*;*;*;*;*;*;*;<=50K
86;*;*;*;*;*;*;*;*;>50K
87;*;*;*;*;*;*;*;*;<=50K
88;*;*;*;*;*;*;*;*;>50K
89;*;*;*;*;*;*;*;*;>50K
90;*;*;*;*;*;*;*;*;<=50K
91;*;*;*;*;*;*;*;*;<=50K
92;*;*;*;*;*;*;Non-Government;*;>50K
93;*;*;*;*;*;*;*;*;>50K
94;*;*;*;*;*;*;*;*;<=50K
95;*;*;*;*;*;*;*;*;<=50K
96;Male;*;*;*;*;*;*;*;<=50K
97;*;*;*;*;*;North America;*;*;>50K
98;*;*;*;*;*;*;*;*;<=50K
99;*;*;*;*;*;*;*;*;<=50K
100;*;*;*;*;*;*;Non-Government;*;<=50K
101;*;*;*;*;*;*;*;*;<=50K
102;*;*;*;*;*;*;*;*;>50K
103;Male;*;White;*;*;*;Non-Government;*;>50K
104;*;*;*;*;*;*;*;*;<=50K
105;*;*;*;*;*;*;*;*;<=50K
106;*;*;*;*;*;*;Non-Government;*;<=50K
107;*;*;*;*;*;*;*;*;<=50K
108;*;*;*;*;*;*;*;*;>50K
109;*;*;*;*;*;*;*;*;<=50K
110;Male;*;*;*;*;*;*;*;<=50K
111;*;*;*;*;*;*;*;*;<=50K
112;*;*;*;*;*;*;*;*;<=50K
113;*;*;*;*;*;*;*;*;<=50K
114;*;*;*;*;*;*;*;*;>50K
115;Male;*;*;spouse not present;*;*;*;*;<=50K
116;*;*;*;*;*;*;*;*;>50K
117;*;*;*;*;*;*;*;*;<=50K
118;*;*;*;*;*;*;*;*;>50K
119;*;*;*;*;*;*;*;*;<=50K
120;*;*;*;*;*;*;*;*;<=50K
121;*;*;*;*;*;*;*;*;<=50K
122;*;*;*;*;*;North America;*;*;<=50K
123;*;*;*;*;*;*;*;*;<=50K
124;*;*;*;*;*;*;*;*;<=50K
125;*;*;*;*;*;*;*;*;>50K
126;*;*;*;*;*;*;Non-Government;*;<=50K
127;*;*;*;*;*;*;*;*;<=50K
128;*;*;*;*;*;*;*;*;<=50K
129;*;*;*;*;*;*;*;*;>50K
130;*;*;*;*;*;North America;*;*;<=50K
131;*;*;*;*;*;*;*;*;<=50K
132;Male;*;*;spouse not present;*;*;*;*;<=50K
133;*;*;*;*;*;*;*;*;>50K
134;*;*;*;*;*;*;*;*;<=50K
135;*;*;*;*;*;*;*;*;<=50K
136;*;*;*;*;*;*;*;*;<=50K
137;*;*;*;*;*;*;*;*;<=50K
138;*;*;*;*;*;North America;*;*;<=50K
139;*;*;*;*;*;*;*;*;<=50K
140;*;*;*;*;*;*;*;*;<=50K
141;*;*;*;*;*;*;*;*;<=50K
142;Male;*;*;*;*;*;*;*;<=50K
143;*;*;*;*;*;North America;*;*;<=50K
144;*;*;*;*;*;*;*;*;<=50K
145;*;*;*;*;*;*;*;*;<=50K
146;Male;*;*;*;*;*;*;*;<=50K
147;*;*;*;*;*;*;*;*;<=50K
148;*;*;*;*;*;*;*;*;<=50K
149;*;*;*;*;*;*;*;*;<=50K
150;*;*;*;*;*;*;*;*;<=50K
151;*;*;*;*;*;*;*;*;>50K
152;*;*;*;*;*;*;*;*;<=50K
153;*;*;*;*;*;*;*;*;<=50K
154;*;*;*;*;*;*;*;*;<=50K
155;Male;*;*;spouse not present;*;*;*;*;<=50K
156;*;*;*;*;*;*;*;*;<=50K
157;*;*;*;*;*;*;*;*;<=50K
158;*;*;*;*;*;*;*;*;<=50K
159;*;*;*;*;*;*;*;*;>50K
160;*;*;*;*;*;*;*;*;<=50K
161;*;*;*;*;*;*;*;*;>50K
162;*;*;*;*;*;*;*;*;<=50K
163;*;*;*;*;*;*;*;*;<=50K
164;*;*;*;*;*;*;*;*;<=50K
165;*;*;*;*;*;*;*;*;<=50K
166;*;*;*;*;*;*;*;*;<=50K
167;*;*;*;*;*;*;*;*;>50K
168;*;*;*;*;*;*;*;*;<=50K
169;*;*;*;*;*;*;*;*;<=50K
170;*;*;*;*;*;*;*;*;>50K
171;*;*;*;*;*;*;*;*;>50K
172;*;*;*;*;*;*;*;*;<=50K
173;*;*;*;*;*;*;*;*;<=50K
174;*;*;*;*;*;*;*;*;<=50K
175;*;*;*;*;*;*;*;*;>50K
176;*;*;*;*;*;*;*;*;<=50K
177;*;*;*;*;*;*;*;*;<=50K
178;*;*;*;*;*;*;*;*;<=50K
179;*;*;*;*;*;*;*;*;<=50K
180;*;*;*;*;*;*;*;*;<=50K
181;*;*;*;*;*;*;*;*;<=50K
182;*;*;*;*;*;*;*;*;<=50K
183;*;*;*;*;*;*;*;*;>50K
184;*;*;*;*;*;*;*;*;>50K
185;*;*;*;*;*;*;*;*;<=50K
186;*;*;*;*;*;*;*;*;<=50K
187;*;*;*;*;*;*;*;*;>50K
188;*;*;*;*;*;*;*;*;<=50K
189;*;*;*;*;*;*;*;*;<=50K
190;*;*;*;*;*;*;*;*;<=50K
191;*;*;*;*;*;*;*;*;>50K
192;Male;*;*;*;*;*;*;*;<=50K
193;*;*;*;*;*;*;*;*;>50K
194;*;*;*;*;*;*;*;*;<=50K
195;*;*;*;*;*;*;*;*;<=50K
196;*;*;*;*;*;North America;*;*;>50K
197;*;*;*;*;*;*;*;*;<=50K
198;*;*;*;*;*;*;*;*;<=50K
199;Male;*;White;*;*;*;Non-Government;*;>50K
200;*;*;*;*;*;*;*;*;>50K
201;*;*;*;*;*;*;*;*;<=50K
202;*;*;*;*;*;*;*;*;<=50K
203;*;*;*;*;*;*;*;*;<=50K
204;Male;*;*;*;*;*;*;*;<=50K
205;*;*;*;*;*;*;*;*;<=50K
206;*;*;*;*;*;*;*;*;<=50K
207;*;*;*;*;*;*;*;*;<=50K
208;*;*;*;*;*;*;*;*;<=50K
209;*;*;*;*;*;*;*;*;<=50K
210;*;*;*;*;*;North America;*;*;<=50K
211;*;*;*;*;*;*;*;*;<=50K
212;*;*;*;*;*;*;*;*;<=50K
213;*;*;*;*;*;*;*;*;<=50K
214;*;*;*;*;*;*;*;*;<=50K
215;*;*;*;*;*;*;*;*;<=50K
216;*;*;*;*;*;*;*;*;<=50K
217;*;*;*;*;*;*;*;*;>50K
218;*;*;*;*;*;*;*;*;<=50K
219;*;*;*;*;*;*;*;*;<=50K
220;*;*;*;*;*;*;*;*;>50K
221;*;*;*;*;*;*;*;*;>50K
222;*;*;*;*;*;*;*;*;<=50K
223;*;*;*;*;*;*;*;*;>50K
224;*;*;*;*;*;*;*;*;<=50K
225;*;*;*;*;*;*;*;*;<=50K
226;*;*;*;*;*;*;*;*;<=50K
227;Male;*;White;*;*;*;Non-Government;*;>50K
228;*;*;*;*;*;*;*;*;<=50K
229;*;*;*;*;*;*;*;*;>50K
230;*;*;*;*;*;*;*;*;>50K
231;*;*;*;*;*;*;*;*;<=50K
232;*;*;*;*;*;*;*;*;<=50K
233;*;*;*;*;*;*;*;*;<=50K
234;Male;*;*;spouse not present;*;*;*;*;<=50K
235;*;*;*;*;*;*;*;*;>50K
236;*;*;*;*;*;*;*;*;<=50K
237;*;*;*;*;*;*;*;*;<=50K
238;*;*;*;*;*;*;*;*;<=50K
239;Male;*;*;*;*;*;*;*;<=50K
240;*;*;*;*;*;*;*;*;<=50K
241;*;*;*;*;*;*;Non-Government;*;<=50K
242;Male;*;*;spouse not present;*;*;*;*;<=50K
243;*;*;*;*;*;*;*;*;<=50K
244;*;*;*;*;*;*;*;*;<=50K
245;*;*;*;*;*;*;*;*;>50K
246;*;*;*;*;*;North America;*;*;>50K
247;*;*;*;*;*;*;*;*;<=50K
248;*;*;*;*;*;*;*;*;>50K
249;*;*;*;*;*;North America;*;*;>50K
250;Male;*;*;spouse not present;*;*;*;*;<=50K
251;*;*;*;*;*;*;*;*;<=50K
252;*;*;*;*;*;*;*;*;<=50K
253;*;*;*;*;*;*;*;*;<=50K
254;*;*;*;*;*;North America;*;*;<=50K
255;*;*;*;*;*;*;*;*;>50K
256;*;*;*;*;*;*;*;*;<=50K
257;*;*;*;*;*;*;*;*;<=50K
258;*;*;*;*;*;*;*;*;>50K
259;*;*;*;*;*;*;*;*;<=50K
260;*;*;*;*;*;*;*;*;>50K
261;*;*;*;*;*;*;*;*;<=50K
262;*;*;*;*;*;*;*;*;<=50K
263;*;*;*;*;*;*;*;*;<=50K
264;*;*;*;*;*;*;*;*;>50K
265;*;*;*;*;*;*;*;*;>50K
266;*;*;*;*;*;*;*;*;<=50K
267;*;*;*;*;*;*;*;*;<=50K
268;Male;*;*;*;*;*;*;*;<=50K
269;*;*;*;*;*;*;*;*;<=50K
270;*;*;*;*;*;*;*;*;<=50K
271;*;*;*;*;*;*;*;*;<=50K
272;*;*;*;*;*;*;*;*;<=50K
273;*;*;*;*;*;*;*;*;<=50K
274;*;*;*;*;*;North America;*;*;<=50K
275;*;*;*;*;*;*;*;*;<=50K
276;Male;*;*;*;*;*;*;*;<=50K
277;*;*;*;*;*;*;*;*;<=50K
278;*;*;*;*;*;*;*;*;>50K
279;*;*;*;*;*;*;*;*;<=50K
280;*;*;*;*;*;North America;*;*;>50K
281;*;*;*;*;*;*;Non-Government;*;>50K
282;*;*;*;*;*;*;*;*;<=50K
283;*;*;*;*;*;*;*;*;<=50K
284;*;*;*;*;*;*;*;*;<=50K
285;*;*;*;*;*;*;*;*;<=50K
286;*;*;*;*;*;*;*;*;>50K
287;*;*;*;*;*;*;*;*;>50K
288;*;*;*;*;*;*;*;*;<=50K
289;*;*;*;*;*;*;*;*;>50K
290;*;*;*;*;*;*;*;*;>50K
291;*;*;*;*;*;*;*;*;<=50K
292;*;*;*;*;*;*;*;*;<=50K
293;*;*;*;*;*;*;*;*;<=50K
294;*;*;*;*;*;*;*;*;<=50K
295;*;*;*;*;*;*;*;*;<=50K
296;*;*;*;*;*;*;*;*;<=50K
297;*;*;*;*;*;*;Non-Government;*;<=50K
298;*;*;*;*;*;*;*;*;<=50K
299;*;*;*;*;*;*;*;*;<=50K
300;*;*;*;*;*;*;*;*;<=50K
301;*;*;*;*;*;North America;*;*;<=50K
302;*;*;*;*;*;North America;*;*;<=50K
303;*;*;*;*;*;*;*;*;>50K
304;*;*;*;*;*;*;Non-Government;*;<=50K
305;Male;*;White;*;*;*;Non-Government;*;<=50K
306;*;*;*;*;*;*;*;*;<=50K
307;*;*;*;*;*;*;*;*;<=50K
308;Male;*;*;spouse not present;*;*;*;*;<=50K
309;*;*;*;*;*;*;*;*;<=50K
310;Male;*;White;*;*;*;Non-Government;*;<=50K
311;Male;*;*;spouse not present;*;*;*;*;<=50K
312;Male;*;*;*;*;*;*;*;<=50K
313;Male;*;*;spouse not present;*;*;*;*;<=50K
314;*;*;*;*;*;*;*;*;<=50K
315;*;*;*;*;*;*;*;*;<=50K
316;*;*;*;*;*;*;*;*;<=50K
317;*;*;*;*;*;*;*;*;>50K
318;*;*;*;*;*;*;*;*;>50K
319;*;*;*;*;*;*;*;*;<=50K
320;*;*;*;*;*;*;*;*;<=50K
321;*;*;*;*;*;*;*;*;<=50K
322;*;*;*;*;*;*;*;*;<=50K
323;*;*;*;*;*;*;*;*;<=50K
324;*;*;*;*;*;*;*;*;>50K
325;*;*;*;*;*;North America;*;*;<=50K
326;*;*;*;*;*;*;*;*;>50K
327;*;*;*;*;*;*;*;*;<=50K
328;*;*;*;*;*;*;*;*;>50K
329;*;*;*;*;*;*;*;*;<=50K
330;*;*;*;*;*;*;*;*;>50K
331;*;*;*;*;*;*;*;*;<=50K
332;Male;*;White;*;*;*;*;*;<=50K
333;*;*;*;*;*;*;*;*;<=50K
334;*;*;*;*;*;North America;*;*;>50K
335;*;*;*;*;*;*;*;*;<=50K
336;*;*;*;*;*;*;*;*;>50K
337;*;*;*;*;*;*;*;*;<=50K
338;*;*;*;*;*;North America;*;*;<=50K
339;*;*;*;*;*;*;*;*;<=50K
340;*;*;*;*;*;*;*;*;<=50K
341;*;*;*;*;*;*;*;*;>50K
342;*;*;*;*;*;*;*;*;<=50K
343;*;*;*;*;*;*;*;*;<=50K
344;Male;*;*;spouse not present;*;*;*;*;<=50K
345;*;*;*;*;*;*;*;*;>50K
346;*;*;*;*;*;*;*;*;<=50K
347;*;*;*;*;*;*;*;*;<=50K
348;*;*;*;*;*;*;*;*;<=50K
349;*;*;*;*;*;*;*;*;<=50K
350;*;*;*;*;*;*;*;*;<=50K
351;*;*;*;*;*;*;*;*;<=50K
352;*;*;*;*;*;*;Non-Government;*;<=50K
353;*;*;*;*;*;*;*;*;<=50K
354;*;*;*;*;*;*;*;*;<=50K
355;*;*;*;*;*;*;*;*;<=50K
356;*;*;*;*;*;*;*;*;<=50K
357;*;*;*;*;*;*;*;*;<=50K
358;*;*;*;*;*;*;*;*;<=50K
359;Male;*;*;*;*;*;*;*;<=50K
360;*;*;*;*;*;*;*;*;>50K
361;*;*;*;*;*;*;*;*;<=50K
362;*;*;*;*;*;*;*;*;<=50K
363;*;*;*;*;*;*;*;*;>50K
364;*;*;*;*;*;*;*;*;<=50K
365;*;*;*;*;*;*;*;*;<=50K
366;*;*;*;*;*;*;*;*;<=50K
367;*;*;*;*;*;*;*;*;<=50K
368;*;*;*;*;*;*;*;*;<=50K
369;*;*;*;*;*;*;*;*;>50K
370;*;*;*;*;*;*;*;*;>50K
371;Male;*;*;spouse not present;*;*;*;*;<=50K
372;*;*;*;*;*;*;*;*;<=50K
373;*;*;*;*;*;*;*;*;>50K
374;*;*;*;*;*;*;*;*;<=50K
375;*;*;*;*;*;*;*;*;<=50K
376;*;*;*;*;*;*;*;*;>50K
377;*;*;*;*;*;North America;*;*;<=50K
378;*;*;*;*;*;*;Non-Government;*;<=50K
379;*;*;*;*;*;*;*;*;<=50K
380;*;*;*;*;*;*;*;*;<=50K
381;*;*;*;*;*;*;*;*;<=50K
382;*;*;*;*;*;*;*;*;<=50K
383;*;*;*;*;*;*;*;*;>50K
384;*;*;*;*;*;*;*;*;<=50K
385;Male;*;*;*;*;*;*;*;>50K
386;*;*;*;*;*;*;*;*;<=50K
387;*;*;*;*;*;*;*;*;<=50K
388;*;*;*;*;*;*;*;*;<=50K
389;*;*;*;*;*;*;*;*;<=50K
390;*;*;*;*;*;*;*;*;<=50K
391;Male;*;*;spouse not present;*;*;*;*;<=50K
392;*;*;*;*;*;*;*;*;>50K
393;*;*;*;*;*;*;*;*;<=50K
394;*;*;*;*;*;*;*;*;<=50K
395;*;*;*;*;*;North America;*;*;<=50K
396;*;*;*;*;*;*;*;*;<=50K
397;*;*;*;*;*;*;*;*;<=50K
398;*;*;*;*;*;North America;*;*;>50K
399;*;*;*;*;*;*;*;*;<=50K
400;*;*;*;*;*;*;*;*;<=50K
401;*;*;*;*;*;*;*;*;>50K
402;*;*;*;*;*;*;*;*;<=50K
403;*;*;*;*;*;*;*;*;>50K
404;*;*;*;*;*;*;*;*;<=50K
405;*;*;*;*;*;*;*;*;<=50K
406;*;*;*;*;*;*;*;*;<=50K
407;*;*;*;*;*;*;*;*;<=50K
408;*;*;*;*;*;*;*;*;<=50K
409;*;*;*;*;*;*;*;*;<=50K
410;*;*;*;*;*;*;*;*;<=50K
411;*;*;*;*;*;*;*;*;>50K
412;*;*;*;*;*;*;*;*;<=50K
413;*;*;*;*;*;*;*;*;<=50K
414;*;*;*;*;*;*;*;*;<=50K
415;Male;*;*;*;*;*;*;*;<=50K
416;*;*;*;*;*;North America;*;*;<=50K
417;*;*;*;*;*;*;*;*;<=50K
418;*;*;*;*;*;*;*;*;>50K
419;Male;*;*;*;*;*;*;*;>50K
420;*;*;*;*;*;*;*;*;>50K
421;*;*;*;*;*;*;*;*;>50K
422;*;*;*;*;*;*;*;*;<=50K
423;*;*;*;*;*;*;*;*;<=50K
424;*;*;*;*;*;North America;*;*;<=50K
425;Male;*;*;spouse not present;*;*;*;*;<=50K
426;*;*;*;*;*;*;*;*;<=50K
427;*;*;*;*;*;*;*;*;<=50K
428;Male;*;*;*;*;*;*;*;<=50K
429;*;*;*;*;*;*;*;*;<=50K
430;*;*;*;*;*;*;*;*;<=50K
431;*;*;*;*;*;*;*;*;<=50K
432;*;*;*;*;*;*;*;*;<=50K
433;*;*;*;*;*;*;*;*;>50K
434;*;*;*;*;*;*;*;*;>50K
435;*;*;*;*;*;*;*;*;>50K
436;Male;*;*;*;*;*;*;*;<=50K
437;*;*;*;*;*;*;*;*;<=50K
438;*;*;*;*;*;*;*;*;<=50K
439;*;*;*;*;*;*;*;*;<=50K
440;Male;*;*;spouse not present;*;*;*;*;<=50K
441;*;*;*;*;*;*;*;*;<=50K
442;*;*;*;*;*;*;*;*;<=50K
443;*;*;*;*;*;*;*;*;<=50K
444;*;*;*;*;*;*;*;*;<=50K
445;*;*;*;*;*;*;*;*;<=50K
446;*;*;*;*;*;*;*;*;<=50K
447;*;*;*;*;*;*;*;*;<=50K
448;*;*;*;*;*;*;*;*;<=50K
449;*;*;*;*;*;*;*;*;<=50K
450;*;*;*;*;*;*;*;*;<=50K
451;*;*;*;*;*;*;*;*;>50K
452;*;*;*;*;*;*;*;*;<=50K
453;*;*;*;*;*;*;*;*;<=50K
454;*;*;*;*;*;*;*;*;<=50K
455;*;*;*;*;*;*;*;*;<=50K
456;*;*;*;*;*;*;*;*;<=50K
457;*;*;*;*;*;*;*;*;<=50K
458;Male;*;*;spouse not present;*;*;*;*;<=50K
459;*;*;*;*;*;*;*;*;<=50K
460;*;*;*;*;*;*;*;*;<=50K
461;*;*;*;*;*;*;*;*;<=50K
462;*;*;*;*;*;*;*;*;<=50K
463;*;*;*;*;*;*;*;*;<=50K
464;*;*;*;*;*;*;*;*;<=50K
465;*;*;*;*;*;*;*;*;<=50K
466;*;*;*;*;*;*;*;*;<=50K
467;Male;*;*;spouse not present;*;*;*;*;<=50K
468;*;*;*;*;*;*;*;*;<=50K
469;*;*;*;*;*;*;*;*;<=50K
470;*;*;*;*;*;*;*;*;<=50K
471;*;*;*;*;*;*;*;*;<=50K
472;*;*;*;*;*;*;*;*;<=50K
473;*;*;*;*;*;*;*;*;>50K
474;Male;*;*;*;*;*;*;*;<=50K
475;*;*;*;*;*;*;*;*;<=50K
476;*;*;*;*;*;*;*;*;>50K
477;*;*;*;*;*;*;*;*;>50K
478;*;*;*;*;*;*;Non-Government;*;>50K
479;*;*;*;*;*;*;*;*;<=50K
480;*;*;*;*;*;*;*;*;>50K
481;*;*;*;*;*;*;*;*;>50K
482;*;*;*;*;*;*;*;*;<=50K
483;*;*;*;*;*;*;*;*;>50K
484;*;*;*;*;*;*;*;*;<=50K
485;*;*;*;*;*;North America;*;*;<=50K
486;*;*;*;*;*;*;*;*;<=50K
487;*;*;*;*;*;*;*;*;<=50K
488;Male;*;*;*;*;*;*;*;<=50K
489;*;*;*;*;*;*;*;*;<=50K
490;*;*;*;*;*;*;*;*;>50K
491;*;*;*;*;*;North America;*;*;>50K
492;*;*;*;*;*;North America;*;*;<=50K
493;*;*;*;*;*;*;*;*;<=50K
494;*;*;*;*;*;*;*;*;<=50K
495;*;*;*;*;*;*;*;*;<=50K
496;*;*;*;*;*;*;*;*;<=50K
497;*;*;*;*;*;*;*;*;<=50K
498;*;*;*;*;*;*;*;*;<=50K
499;*;*;*;*;*;*;*;*;<=50K
500;*;*;*;*;*;*;*;*;<=50K
501;*;*;*;*;*;*;*;*;<=50K
502;*;*;*;*;*;*;*;*;<=50K
503;*;*;*;*;*;*;*;*;<=50K
504;*;*;*;*;*;*;*;*;<=50K
505;*;*;*;*;*;*;*;*;<=50K
506;*;*;*;*;*;*;*;*;<=50K
507;*;*;*;*;*;*;*;*;<=50K
508;*;*;*;*;*;*;*;*;<=50K
509;*;*;*;*;*;*;*;*;<=50K
510;*;*;*;*;*;*;*;*;>50K
511;*;*;*;*;*;*;*;*;<=50K
512;*;*;*;*;*;North America;*;*;<=50K
513;*;*;*;*;*;*;*;*;<=50K
514;Male;*;White;*;*;*;Non-Government;*;<=50K
515;Male;*;*;spouse not present;*;*;*;*;<=50K
516;*;*;*;*;*;*;*;*;>50K
517;*;*;*;*;*;*;*;*;>50K
518;*;*;*;*;*;*;*;*;<=50K
519;*;*;*;*;*;*;*;*;>50K
520;*;*;*;*;*;*;*;*;<=50K
521;*;*;*;*;*;*;*;*;<=50K
522;*;*;*;*;*;*;*;*;<=50K
523;Male;*;White;*;*;*;Non-Government;*;<=50K
524;*;*;*;*;*;*;*;*;<=50K
525;Male;*;*;*;*;*;*;*;<=50K
526;Male;*;White;*;*;*;Non-Government;*;<=50K
527;Male;*;*;spouse not present;*;*;*;*;<=50K
528;*;*;*;*;*;*;*;*;>50K
529;*;*;*;*;*;*;*;*;<=50K
530;*;*;*;*;*;*;*;*;>50K
531;*;*;*;*;*;*;*;*;<=50K
532;*;*;*;*;*;*;*;*;<=50K
533;*;*;*;*;*;*;*;*;<=50K
534;*;*;*;*;*;*;Non-Government;*;>50K
535;Male;*;*;*;*;*;*;*;<=50K
536;*;*;*;*;*;North America;*;*;<=50K
537;*;*;*;*;*;*;*;*;<=50K
538;*;*;*;*;*;*;*;*;<=50K
539;*;*;*;*;*;*;*;*;<=50K
540;Male;*;*;spouse not present;*;*;*;*;<=50K
541;Male;*;*;*;*;*;*;*;>50K
542;*;*;*;*;*;*;*;*;<=50K
543;*;*;*;*;*;*;*;*;>50K
544;*;*;*;*;*;*;*;*;>50K
545;*;*;*;*;*;*;*;*;<=50K
546;*;*;*;*;*;*;*;*;<=50K
547;*;*;*;*;*;*;*;*;>50K
548;*;*;*;*;*;*;*;*;<=50K
549;*;*;*;*;*;*;*;*;<=50K
550;*;*;*;*;*;*;*;*;<=50K
551;Male;*;*;spouse not present;*;*;*;*;<=50K
552;*;*;*;*;*;*;*;*;<=50K
553;*;*;*;*;*;*;*;*;<=50K
554;*;*;*;*;*;*;*;*;<=50K
555;*;*;*;*;*;*;*;*;<=50K
556;*;*;*;*;*;*;*;*;>50K
557;*;*;*;*;*;*;*;*;<=50K
558;*;*;*;*;*;*;*;*;<=50K
559;*;*;*;*;*;*;*;*;<=50K
560;*;*;*;*;*;*;*;*;<=50K
561;Male;*;*;*;*;*;*;*;<=50K
562;Male;*;White;*;*;*;Non-Government;*;<=50K
563;*;*;*;*;*;*;*;*;<=50K
564;*;*;*;*;*;*;*;*;<=50K
565;*;*;*;*;*;*;*;*;<=50K
566;*;*;*;*;*;*;*;*;<=50K
567;*;*;*;*;*;*;Non-Government;*;<=50K
568;*;*;*;*;*;*;*;*;<=50K
569;*;*;*;*;*;*;*;*;>50K
570;*;*;*;*;*;*;*;*;<=50K
571;*;*;*;*;*;*;*;*;<=50K
572;*;*;*;*;*;*;*;*;<=50K
573;*;*;*;*;*;*;*;*;<=50K
574;*;*;*;*;*;*;*;*;<=50K
575;*;*;*;*;*;*;*;*;<=50K
576;*;*;*;*;*;*;Non-Government;*;>50K
577;*;*;*;*;*;*;Non-Government;*;<=50K
578;*;*;*;*;*;*;*;*;>50K
579;*;*;*;*;*;*;*;*;>50K
580;*;*;*;*;*;*;*;*;<=50K
581;*;*;*;*;*;*;*;*;<=50K
582;*;*;*;*;*;*;*;*;>50K
583;*;*;*;*;*;*;*;*;>50K
584;*;*;*;*;*;*;Non-Government;*;<=50K
585;*;*;*;*;*;*;*;*;<=50K
586;*;*;*;*;*;*;*;*;<=50K
587;*;*;*;*;*;*;*;*;>50K
588;*;*;*;*;*;*;*;*;<=50K
589;*;*;*;*;*;*;*;*;>50K
590;Male;*;*;*;*;*;*;*;<=50K
591;Male;*;*;*;*;*;*;*;<=50K
592;*;*;*;*;*;*;*;*;<=50K
593;*;*;*;*;*;*;*;*;>50K
594;*;*;*;*;*;*;*;*;<=50K
595;*;*;*;*;*;*;*;*;>50K
596;*;*;*;*;*;*;*;*;<=50K
